v6_id	gene_name	compartment	subcluster	cell_type	fincher_cluster	log2fc	pval
dd_Smed_v6_19327_0_1	nkx1-1	G0 Progenitor	muscle_0	circular muscle		4.66580391368953	1.94677480953502e-78
dd_Smed_v6_13343_0_1	dd13343	G0 Progenitor	muscle_0	circular muscle		2.76397956143908	3.91069101418699e-65
dd_Smed_v6_2442_0_1	dd2442	G0 Progenitor	muscle_0	circular muscle		3.49862337541567	1.26110590581733e-52
dd_Smed_v6_31435_0_1	lbx	G0 Progenitor	muscle_1	longitudinal muscle		5.67610082408323	1.08218376320858e-44
dd_Smed_v6_13474_0_1	dd13474	G0 Progenitor	muscle_1	longitudinal muscle		2.88057344307855	8.35186938526602e-28
dd_Smed_v6_12873_0_1	nkx6-2	G0 Progenitor	muscle_1	longitudinal muscle		3.48169667791055	1.70218268093854e-25
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_1	longitudinal muscle		1.9358051003762	2.03435138532035e-25
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_1	longitudinal muscle		2.2555914478761	2.69705567862285e-21
dd_Smed_v6_16955_0_1	dd16955	G0 Progenitor	muscle_1	longitudinal muscle		3.359135100447	2.52360974655985e-20
dd_Smed_v6_9906_0_1	neuroD-2	G0 Progenitor	muscle_10	Pharynx Muscle		6.15709520659602	1.09161391696828e-126
dd_Smed_v6_9893_0_1	coe	G0 Progenitor	muscle_10	Pharynx Muscle		3.28420360305542	1.00472096308411e-25
dd_Smed_v6_58909_0_1	gata4/5/6-3	G0 Progenitor	muscle_10	Pharynx Muscle		3.82954305292337	4.18451321207372e-18
dd_Smed_v6_5579_0_1	dd5579	G0 Progenitor	muscle_10	Pharynx Muscle		2.26029797899894	2.08728594571569e-17
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_10	Pharynx Muscle		2.97724981713114	2.41128332556212e-17
dd_Smed_v6_16466_0_1	dd16466	G0 Progenitor	muscle_10	Pharynx Muscle		1.92860502592011	4.31267323478422e-06
dd_Smed_v6_22585_0_1	ZicA	G0 Progenitor	muscle_11	Anterior Pole		7.14020097558834	2.24236698920564e-126
dd_Smed_v6_8606_0_1	prep	G0 Progenitor	muscle_11	Anterior Pole		7.63183486058666	1.32612080783223e-44
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_11	Anterior Pole		2.37883587270097	3.87158667514766e-08
dd_Smed_v6_23249_0_1	foxd	G0 Progenitor	muscle_11	Anterior Pole			
dd_Smed_v6_16399_0_1	meis	G0 Progenitor	muscle_11	Anterior Pole			
dd_Smed_v6_15531_0_1	dd15531	G0 Progenitor	muscle_11	Anterior Pole			
dd_Smed_v6_10201_0_1	dd10201	G0 Progenitor	muscle_11	Anterior Pole			
dd_Smed_v6_17332_0_1	hesl-2	G0 Progenitor	muscle_12	Medial DV Muscle?		4.71065505157653	1.3572282417587e-26
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_12	Medial DV Muscle?		2.33716107656444	3.32118101937986e-20
dd_Smed_v6_58909_0_1	gata4/5/6-3	G0 Progenitor	muscle_13	Intestinal Muscle		2.53552380352265	1.01845018805596e-13
dd_Smed_v6_16955_0_1	dd16955	G0 Progenitor	muscle_13	Intestinal Muscle		1.64330341390838	1.56457669765598e-09
dd_Smed_v6_3012_0_1	dd3012	G0 Progenitor	muscle_13	Intestinal Muscle		2.36501697697866	3.87571490312591e-08
dd_Smed_v6_6910_0_1	foxF-1	G0 Progenitor	muscle_13	Intestinal Muscle		1.81994565976626	6.19936351682762e-07
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_13	Intestinal Muscle		2.5385503676791	4.39552051712976e-06
dd_Smed_v6_7470_0_1	dd7470	G0 Progenitor	muscle_13	Intestinal Muscle		1.7395113108935	3.62952701876421e-05
dd_Smed_v6_8158_0_1	dd8158	G0 Progenitor	muscle_13	Intestinal Muscle			
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_14			6.69632657060453	8.06575355733517e-66
dd_Smed_v6_7324_0_1	dd7324	G0 Progenitor	muscle_14			5.66894935280258	3.03716795548251e-53
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_14			6.38001092892662	1.4054206293582e-24
dd_Smed_v6_12677_0_1	dd12677	G0 Progenitor	muscle_14			5.77962206996772	1.92467525808372e-21
dd_Smed_v6_16466_0_1	dd16466	G0 Progenitor	muscle_15	longitudinal muscle + PCGs (medial, dorsal)		4.59522286685093	4.9146176319636e-35
dd_Smed_v6_15253_0_1	pitx	G0 Progenitor	muscle_15	longitudinal muscle + PCGs (medial, dorsal)		6.26104424210106	2.16786584170967e-26
dd_Smed_v6_10673_0_1	dd10673	G0 Progenitor	muscle_15	longitudinal muscle + PCGs (medial, dorsal)		3.72207312257035	9.4025406720887e-11
dd_Smed_v6_18505_0_1	dd18505	G0 Progenitor	muscle_15	longitudinal muscle + PCGs (medial, dorsal)			
dd_Smed_v6_8820_0_1	islet1	G0 Progenitor	muscle_15	longitudinal muscle + PCGs (medial, dorsal)			
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_15	longitudinal muscle + PCGs (medial, dorsal)			
dd_Smed_v6_18147_0_1	dd18147	G0 Progenitor	muscle_16			2.70422480797499	1.31213850142125e-33
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_16			2.23271987894118	4.6063388350949e-20
dd_Smed_v6_4831_0_1	dd4831	G0 Progenitor	muscle_16			1.58308889398459	3.10937409833879e-16
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_2			8.36905075396825	0.0
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_2			4.36729894041119	1.06521060526088e-124
dd_Smed_v6_12677_0_1	dd12677	G0 Progenitor	muscle_2			2.20796469884329	2.42922080628807e-69
dd_Smed_v6_7324_0_1	dd7324	G0 Progenitor	muscle_2			4.04681894384806	3.85329717462695e-63
dd_Smed_v6_13283_0_1	Dmd-3	G0 Progenitor	muscle_3	Pharynx Muscle		6.26647075767454	0.0
dd_Smed_v6_16070_0_1	musculin	G0 Progenitor	muscle_3	Pharynx Muscle		5.25229902500674	4.52007529567309e-130
dd_Smed_v6_13474_0_1	dd13474	G0 Progenitor	muscle_3	Pharynx Muscle		3.43328236660185	6.27560829470827e-108
dd_Smed_v6_6910_0_1	foxF-1	G0 Progenitor	muscle_3	Pharynx Muscle		2.09870441042081	2.22888783334959e-64
dd_Smed_v6_22585_0_1	ZicA	G0 Progenitor	muscle_3	Pharynx Muscle		4.24513643767133	2.42182071606707e-40
dd_Smed_v6_9774_0_1	Six1/2-2	G0 Progenitor	muscle_3	Pharynx Muscle		2.22994599639762	5.93761825587687e-37
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_3	Pharynx Muscle		2.69158082875062	1.66994375103558e-35
dd_Smed_v6_14362_0_1	dd14362	G0 Progenitor	muscle_3	Pharynx Muscle		2.61636792079172	3.14636854344906e-34
dd_Smed_v6_25344_0_1	nk4	G0 Progenitor	muscle_4	DV Muscle (Lateral, Medial?)		4.20384047542959	1.05509723002514e-99
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_4	DV Muscle (Lateral, Medial?)		3.45591048793761	4.20232090650262e-74
dd_Smed_v6_6910_0_1	foxF-1	G0 Progenitor	muscle_4	DV Muscle (Lateral, Medial?)		2.86286761477688	1.74813263053553e-69
dd_Smed_v6_7324_0_1	dd7324	G0 Progenitor	muscle_4	DV Muscle (Lateral, Medial?)		4.11245633045178	1.70960089874828e-47
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_4	DV Muscle (Lateral, Medial?)		3.89071838451947	1.43090782387334e-31
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_5			2.20799486045479	1.03286469519549e-26
dd_Smed_v6_6910_0_1	foxF-1	G0 Progenitor	muscle_5			3.60752905822017	2.5103803916362e-24
dd_Smed_v6_25344_0_1	nk4	G0 Progenitor	muscle_5			1.81331131445596	1.24710343526924e-20
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_5			3.41533842566799	5.79181193804377e-20
dd_Smed_v6_15865_0_1	dd15865	G0 Progenitor	muscle_6	bwm-1+ muscle		2.43331223698376	1.68448301695313e-27
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_6	bwm-1+ muscle			
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_6	bwm-1+ muscle			
dd_Smed_v6_2442_0_1	dd2442	G0 Progenitor	muscle_6	bwm-1+ muscle			
dd_Smed_v6_16955_0_1	dd16955	G0 Progenitor	muscle_6	bwm-1+ muscle			
dd_Smed_v6_7324_0_1	dd7324	G0 Progenitor	muscle_6	bwm-1+ muscle			
dd_Smed_v6_15144_0_1	lhx2/9	G0 Progenitor	muscle_6	bwm-1+ muscle			
dd_Smed_v6_7470_0_1	dd7470	G0 Progenitor	muscle_6	bwm-1+ muscle			
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_7			6.81945910042636	8.21727317232481e-117
dd_Smed_v6_17951_0_1	twist	G0 Progenitor	muscle_8	Pharynx Muscle		5.22461396794793	9.2026511468444e-94
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_8	Pharynx Muscle		5.22179274083596	1.03440774226182e-78
dd_Smed_v6_7324_0_1	dd7324	G0 Progenitor	muscle_8	Pharynx Muscle		3.40402951879023	1.01948093949743e-35
dd_Smed_v6_13474_0_1	dd13474	G0 Progenitor	muscle_8	Pharynx Muscle		3.00128381603145	2.05335342906367e-26
dd_Smed_v6_14362_0_1	dd14362	G0 Progenitor	muscle_8	Pharynx Muscle		2.29480280775679	1.29765751311462e-18
dd_Smed_v6_18940_0_1	dd18940	G0 Progenitor	muscle_9			6.59718989094069	0.0
dd_Smed_v6_16466_0_1	dd16466	G0 Progenitor	muscle_9			6.52250153009477	0.0
dd_Smed_v6_11975_0_1	dd11975	G0 Progenitor	muscle_9			5.24186213605307	6.76962909744121e-258
dd_Smed_v6_12229_0_1	dd12229	G0 Progenitor	muscle_9			3.44165559568563	6.47840947380721e-116
dd_Smed_v6_9050_0_1	soxP-5	G0 Progenitor	muscle_9			2.85409958380942	1.15518267091962e-57
dd_Smed_v6_15531_0_1	dd15531	G0 Progenitor	muscle_9			1.59668345816774	9.69461391049718e-43
dd_Smed_v6_7324_0_1	dd7324	G0 Progenitor	muscle_9			1.73079671854179	1.13009134678117e-36
dd_Smed_v6_14115_0_1	dd14115	G0 Progenitor	parenchymal_0	NA (ascl-2)	parenchymal 7,14	7.81507799875493	0.0
dd_Smed_v6_14753_0_1	ascl-2	G0 Progenitor	parenchymal_0	NA (ascl-2)	parenchymal 7,14	6.6575854049529	0.0
dd_Smed_v6_14712_0_1	dd14712	G0 Progenitor	parenchymal_0	NA (ascl-2)	parenchymal 7,14	3.84306578918966	3.76448335067438e-233
dd_Smed_v6_17534_0_1	arh	G0 Progenitor	parenchymal_0	NA (ascl-2)	parenchymal 7,14	2.85801462248405	1.33456222083561e-171
dd_Smed_v6_10184_0_1	dd10184	G0 Progenitor	parenchymal_0	NA (ascl-2)	parenchymal 7,14	2.24608793446383	9.40723466523816e-104
dd_Smed_v6_10911_0_1	dd10911	G0 Progenitor	parenchymal_0	NA (ascl-2)	parenchymal 7,14	2.30556083156157	8.96671016645895e-62
dd_Smed_v6_8096_0_1	fer3l-1	G0 Progenitor	parenchymal_1	NA (fer3l-1)	parenchymal 0, 18?	6.50188695233858	0.0
dd_Smed_v6_15506_0_1	dd15506	G0 Progenitor	parenchymal_1	NA (fer3l-1)	parenchymal 0, 18?	5.30574100716927	0.0
dd_Smed_v6_14633_0_1	otxA	G0 Progenitor	parenchymal_1	NA (fer3l-1)	parenchymal 0, 18?	3.87423295542283	9.84859533506487e-294
dd_Smed_v6_10320_0_1	dd10320	G0 Progenitor	parenchymal_1	NA (fer3l-1)	parenchymal 0, 18?	4.47188748637959	8.11184981583209e-72
dd_Smed_v6_16472_0_1	dd16472	G0 Progenitor	parenchymal_1	NA (fer3l-1)	parenchymal 0, 18?	2.29000098731848	3.82244728995293e-33
dd_Smed_v6_16472_0_1	dd16472	G0 Progenitor	parenchymal_2	NA (GCM2)	parenchymal 5, 12	3.05805917167441	3.53117913306831e-67
dd_Smed_v6_13898_0_1	nkx2-like	G0 Progenitor	parenchymal_3	NA (nkx2-like)	parencymal 15, 17	4.32785816329835	6.42576880161002e-68
dd_Smed_v6_16472_0_1	dd16472	G0 Progenitor	parenchymal_3	NA (nkx2-like)	parencymal 15, 17	2.15837126592007	1.51102875321548e-58
dd_Smed_v6_10868_0_1	fer3l-2	G0 Progenitor	parenchymal_4	NA (fer3l-2)	parenchymal 13, 8?	5.53134282128001	7.00975917087838e-207
dd_Smed_v6_14824_0_1	dd14824	G0 Progenitor	parenchymal_4	NA (fer3l-2)	parenchymal 13, 8?	3.77161574923852	2.61046073396561e-80
dd_Smed_v6_12617_0_1	dd12617	G0 Progenitor	parenchymal_4	NA (fer3l-2)	parenchymal 13, 8?	2.61646966700959	7.39266587224309e-44
dd_Smed_v6_18147_0_1	dd18147	G0 Progenitor	parenchymal_4	NA (fer3l-2)	parenchymal 13, 8?	2.36567619024442	1.92282046364289e-28
dd_Smed_v6_16472_0_1	dd16472	G0 Progenitor	parenchymal_4	NA (fer3l-2)	parenchymal 13, 8?	3.46825970652593	3.95140729366255e-20
dd_Smed_v6_13898_0_1	nkx2-like	G0 Progenitor	parenchymal_5	NA (nkx2-like)	parenchymal 15, 17	4.51507434900961	1.99118779972875e-54
dd_Smed_v6_16472_0_1	dd16472	G0 Progenitor	parenchymal_5	NA (nkx2-like)	parenchymal 15, 17	3.24118469768083	8.50286097266822e-37
dd_Smed_v6_10446_0_1	dd10446	G0 Progenitor	parenchymal_5	NA (nkx2-like)	parenchymal 15, 17	2.51698110751491	3.25559985575092e-24
dd_Smed_v6_17726_0_1	Pax6A	G0 Progenitor	parenchymal_6	NA (gata3)	parenchymal 10		
dd_Smed_v6_18147_0_1	dd18147	G0 Progenitor	parenchymal_6	NA (gata3)	parenchymal 10		
dd_Smed_v6_12617_0_1	dd12617	G0 Progenitor	parenchymal_6	NA (gata3)	parenchymal 10		
dd_Smed_v6_10911_0_1	dd10911	G0 Progenitor	parenchymal_6	NA (gata3)	parenchymal 10		
dd_Smed_v6_5579_0_1	dd5579	G0 Progenitor	parenchymal_6	NA (gata3)	parenchymal 10		
dd_Smed_v6_16124_0_1	runt-1	X1	0_0	Neural	pax6A	2.00768093714534	5.14793927980677e-180
dd_Smed_v6_17385_0_1	sp6-9	X1	0_0	Neural	pax6A	1.84753179833913	1.60879490990504e-151
dd_Smed_v6_13056_0_1	tcf1	X1	0_0	Neural	pax6A	1.95091497348511	7.14729079119372e-138
dd_Smed_v6_22992_0_1	dd22992	X1	0_0	Neural	pax6A	1.73120810180429	8.98282671543054e-118
dd_Smed_v6_13215_0_1	soxB	X1	0_0	Neural	pax6A	1.97434331729042	7.66445776110161e-114
dd_Smed_v6_36829_0_1	dd36829	X1	0_0	Neural	pax6A	1.72841635961793	6.99046789939611e-111
dd_Smed_v6_18952_0_1	scratch	X1	0_0	Neural	pax6A	2.73502838514728	8.49864614400721e-99
dd_Smed_v6_17498_0_1	dd17498	X1	0_1	Neural	dd73714	4.28923530937812	0.0
dd_Smed_v6_17385_0_1	sp6-9	X1	0_1	Neural	dd73714	4.3879618900609	0.0
dd_Smed_v6_17726_0_1	Pax6A	X1	0_1	Neural	dd73714	3.32539182137306	3.09878721990769e-241
dd_Smed_v6_21717_0_1	neuroD-1	X1	0_1	Neural	dd73714	3.52098619440096	5.4852847675666e-213
dd_Smed_v6_13056_0_1	tcf1	X1	0_1	Neural	dd73714	2.92532241638022	7.41204133282242e-171
dd_Smed_v6_52497_0_1	hmx-1	X1	0_1	Neural	dd73714	3.35743635724091	4.25740847757197e-123
dd_Smed_v6_15107_0_1	dd15107	X1	0_2	Neural	prox-1	3.00015315682173	1.00921529514009e-85
dd_Smed_v6_14753_0_1	ascl-2	X1	0_2	Neural	prox-1	3.36275179491297	1.21742445459232e-76
dd_Smed_v6_14712_0_1	dd14712	X1	0_2	Neural	prox-1	2.27113708567299	5.85405380421003e-72
dd_Smed_v6_11198_0_1	nkx6-like	X1	0_2	Neural	prox-1	2.44356921964654	7.33507212616705e-43
dd_Smed_v6_58909_0_1	gata4/5/6-3	X1	0_2	Neural	prox-1	2.08961193910821	2.40751079129536e-35
dd_Smed_v6_14213_0_1	dd14213	X1	0_2	Neural	prox-1	2.09591693353361	1.08825851255395e-32
dd_Smed_v6_73714_0_1	dd73714	X1	0_3	Neural	sp6-9	1.59956716014057	5.45156701298231e-65
dd_Smed_v6_22992_0_1	dd22992	X1	0_3	Neural	sp6-9	1.64869112744424	7.50112073231609e-44
dd_Smed_v6_13056_0_1	tcf1	X1	0_3	Neural	sp6-9	1.81360856915316	3.60054853887189e-42
dd_Smed_v6_10911_0_1	dd10911	X1	0_4	Neural	runt-1	4.16045162922298	1.20066644597716e-285
dd_Smed_v6_11198_0_1	nkx6-like	X1	0_4	Neural	runt-1	3.98522818667099	2.98572328738437e-267
dd_Smed_v6_15555_0_1	pou4l-1	X1	0_4	Neural	runt-1	3.23646160592166	4.71574352354373e-177
dd_Smed_v6_13215_0_1	soxB	X1	0_4	Neural	runt-1	3.59141601590839	1.8016883441687e-174
dd_Smed_v6_17726_0_1	Pax6A	X1	0_4	Neural	runt-1	3.13993056132004	2.42675514019608e-110
dd_Smed_v6_21717_0_1	neuroD-1	X1	0_5	Neural	pou4l-1	2.98861395874849	0.0
dd_Smed_v6_13898_0_1	nkx2-like	X1	0_5	Neural	pou4l-1	2.40929284233864	0.0
dd_Smed_v6_13215_0_1	soxB	X1	0_5	Neural	pou4l-1	2.98390582788005	0.0
dd_Smed_v6_18505_0_1	dd18505	X1	0_5	Neural	pou4l-1	3.48792823345323	0.0
dd_Smed_v6_14824_0_1	dd14824	X1	0_5	Neural	pou4l-1	2.96168096435326	0.0
dd_Smed_v6_10911_0_1	dd10911	X1	0_5	Neural	pou4l-1	3.33561600622532	0.0
dd_Smed_v6_5942_0_1	SOXP-3	X1	1_0	Epidermis (dorsal and DVB)	p53	1.72879345245532	1.04882554545171e-212
dd_Smed_v6_8720_0_1	ZFP-1	X1	1_0	Epidermis (dorsal and DVB)	p53	1.69739851256758	1.47834376297711e-189
dd_Smed_v6_15471_0_1	dd15471	X1	1_0	Epidermis (dorsal and DVB)	p53	1.56297477104495	2.89236500181274e-97
dd_Smed_v6_3935_0_1	dd3935	X1	1_0	Epidermis (dorsal and DVB)	p53	1.52279010987365	1.41833782463823e-40
dd_Smed_v6_3935_0_1	dd3935	X1	1_2	Epidermis (dorsal)	zfp-1	2.2949363401779	5.70142173225976e-247
dd_Smed_v6_5942_0_1	SOXP-3	X1	1_2	Epidermis (dorsal)	zfp-1	2.30703523743164	1.88401264374054e-243
dd_Smed_v6_16007_0_1	dd16007	X1	1_2	Epidermis (dorsal)	zfp-1	2.07467950311163	5.57959144123924e-237
dd_Smed_v6_6470_0_1	tbx2/3b	X1	1_2	Epidermis (dorsal)	zfp-1	1.74002714521692	1.13726605879566e-211
dd_Smed_v6_3935_0_1	dd3935	X1	1_3	Epidermis (ventral)	zfp-1	4.95494027032773	3.8565193186e-314
dd_Smed_v6_12317_0_1	dd12317	X1	1_3	Epidermis (ventral)	zfp-1	3.29419381633462	2.95712303700893e-300
dd_Smed_v6_7824_0_1	Sp5	X1	1_3	Epidermis (ventral)	zfp-1	3.06894571370787	7.33820598232562e-65
dd_Smed_v6_5942_0_1	SOXP-3	X1	1_3	Epidermis (ventral)	zfp-1	2.91149956744558	7.53573606316012e-62
dd_Smed_v6_17397_0_1	ptf-1	X1	5_0	foxA+ Parenchymal	RREB2	5.87317028762086	0.0
dd_Smed_v6_14712_0_1	dd14712	X1	5_0	foxA+ Parenchymal	RREB2	3.58360261819029	4.17726691535297e-206
dd_Smed_v6_17476_0_1	dd17476	X1	5_0	foxA+ Parenchymal	RREB2	4.55211249744657	2.14986466083202e-202
dd_Smed_v6_16472_0_1	dd16472	X1	5_0	foxA+ Parenchymal	RREB2	2.46537081416879	5.1848777437356e-186
dd_Smed_v6_48508_0_1	dd48508	X1	5_0	foxA+ Parenchymal	RREB2	2.91004470270773	1.92180053886585e-145
dd_Smed_v6_17397_0_1	ptf-1	X1	5_1	foxA+ Parenchymal (ptf-1 + fer3l-2)	RREB1	4.18018388128063	3.04721681832467e-213
dd_Smed_v6_5882_0_1	dd5882	X1	5_1	foxA+ Parenchymal (ptf-1 + fer3l-2)	RREB1	4.38566106859223	2.86318329044253e-179
dd_Smed_v6_16472_0_1	dd16472	X1	5_1	foxA+ Parenchymal (ptf-1 + fer3l-2)	RREB1	4.05536561364079	3.05328921189429e-160
dd_Smed_v6_10868_0_1	fer3l-2	X1	5_1	foxA+ Parenchymal (ptf-1 + fer3l-2)	RREB1	2.40038830537621	7.99991959545677e-110
dd_Smed_v6_415_0_1	dd415	X1	5_1	foxA+ Parenchymal (ptf-1 + fer3l-2)	RREB1	2.6226249058773	3.84908849244503e-105
dd_Smed_v6_1032_0_1	dd1032	X1	5_1	foxA+ Parenchymal (ptf-1 + fer3l-2)	RREB1	3.60499363526226	5.90743214609256e-100
dd_Smed_v6_14712_0_1	dd14712	X1	5_2	foxA+ Parenchymal (dd_2)	RREB1	4.28471557902594	4.7419165891858e-168
dd_Smed_v6_5882_0_1	dd5882	X1	5_2	foxA+ Parenchymal (dd_2)	RREB1	4.99331382029951	9.41869291243305e-164
dd_Smed_v6_8820_0_1	islet1	X1	5_2	foxA+ Parenchymal (dd_2)	RREB1	4.03420126138069	2.25590154717252e-134
dd_Smed_v6_415_0_1	dd415	X1	5_2	foxA+ Parenchymal (dd_2)	RREB1	4.54274376714352	4.28839592103556e-119
dd_Smed_v6_4831_0_1	dd4831	X1	5_2	foxA+ Parenchymal (dd_2)	RREB1	2.97131332903772	3.04978604741982e-95
dd_Smed_v6_17476_0_1	dd17476	X1	5_2	foxA+ Parenchymal (dd_2)	RREB1	3.40610374523654	1.44813310546785e-68
dd_Smed_v6_14633_0_1	otxA	X1	5_3	foxA+ Parenchymal (fer3l-1)	fer3l-1	4.25852856877894	8.98222885331331e-111
dd_Smed_v6_25321_0_1	dd25321	X1	5_3	foxA+ Parenchymal (fer3l-1)	fer3l-1	3.44655613840587	1.32854317298723e-52
dd_Smed_v6_1032_0_1	dd1032	X1	5_3	foxA+ Parenchymal (fer3l-1)	fer3l-1	4.47664274265966	1.40373142790403e-52
dd_Smed_v6_5882_0_1	dd5882	X1	5_3	foxA+ Parenchymal (fer3l-1)	fer3l-1	3.10020465393868	9.14081254743995e-36
dd_Smed_v6_16472_0_1	dd16472	X1	5_3	foxA+ Parenchymal (fer3l-1)	fer3l-1	2.83039404598572	2.00374586272287e-34
dd_Smed_v6_17476_0_1	dd17476	X1	5_4	foxA+ Parenchymal	dd14712	5.09056085653632	0.0
dd_Smed_v6_8820_0_1	islet1	X1	5_4	foxA+ Parenchymal	dd14712	3.15713939933761	3.27578503605505e-107
dd_Smed_v6_9460_0_2	dd9460	X1	5_4	foxA+ Parenchymal	dd14712	2.59099824689323	2.78565917565837e-68
dd_Smed_v6_23249_0_1	foxd	X1	6	Pharynx	foxA	4.1034965085501	1.06414812424134e-142
dd_Smed_v6_19255_0_1	dd19255	X1	6	Pharynx	foxA	3.78784252064342	2.19868978945405e-90
dd_Smed_v6_18719_0_1	dd18719	X1	6	Pharynx	foxA	3.3069879061249	3.841287435508e-81
dd_Smed_v6_15107_0_1	dd15107	X1	6	Pharynx	foxA	3.31767020721812	1.04132348661711e-66
dd_Smed_v6_22163_0_1	dd22163	X1	6	Pharynx	foxA	2.81930645840382	5.65041795463544e-51
dd_Smed_v6_19859_0_1	dd19859	X1	6	Pharynx	foxA	2.0587985155616	1.05850552092795e-25
dd_Smed_v6_13343_0_1	dd13343	X1	7_0	NKX2-4+ Parenchymal	NKX2-4	5.03040140988983	2.84439467121598e-210
dd_Smed_v6_25344_0_1	nk4	X1	7_0	NKX2-4+ Parenchymal	NKX2-4	4.36226001769051	1.73068326766534e-184
dd_Smed_v6_13341_0_1	dd13341	X1	7_0	NKX2-4+ Parenchymal	NKX2-4	3.52909222653727	1.79971063327281e-143
dd_Smed_v6_14753_0_1	ascl-2	X1	7_0	NKX2-4+ Parenchymal	NKX2-4	5.9900473488557	3.00479984812751e-118
dd_Smed_v6_5882_0_1	dd5882	X1	7_1	NKX2-4+ Parenchymal (nkx2-like + nkx6-like)	ASCL4	3.42477745769345	6.76552812520427e-56
dd_Smed_v6_13898_0_1	nkx2-like	X1	7_1	NKX2-4+ Parenchymal (nkx2-like + nkx6-like)	ASCL4	3.04550377265014	3.79266281377714e-47
dd_Smed_v6_16472_0_1	dd16472	X1	7_1	NKX2-4+ Parenchymal (nkx2-like + nkx6-like)	ASCL4	3.60297495522002	4.89069949959407e-31
dd_Smed_v6_49794_0_1	dd49794	X1	7_1	NKX2-4+ Parenchymal (nkx2-like + nkx6-like)	ASCL4	3.47209209846123	1.14672273650113e-18
dd_Smed_v6_10446_0_1	dd10446	X1	7_1	NKX2-4+ Parenchymal (nkx2-like + nkx6-like)	ASCL4	2.38552391749853	6.4837051065598e-08
dd_Smed_v6_16472_0_1	dd16472	X1	7_2	NKX2-4+ Parenchymal	NKX2-4	3.89454301249076	1.22497599384839e-114
dd_Smed_v6_33575_0_1	dd33575	X1	7_2	NKX2-4+ Parenchymal	NKX2-4	3.84412820189486	7.00521828619903e-99
dd_Smed_v6_15506_0_1	dd15506	X1	7_2	NKX2-4+ Parenchymal	NKX2-4	3.97585348942908	7.13559973076539e-65
dd_Smed_v6_25344_0_1	nk4	X1	7_2	NKX2-4+ Parenchymal	NKX2-4	5.2222269418046	6.88606190211074e-44
dd_Smed_v6_17566_0_1	dd17566	X1	7_2	NKX2-4+ Parenchymal	NKX2-4	3.10634882890921	1.3421931229771e-43
dd_Smed_v6_15506_0_1	dd15506	X1	7_3	NKX2-4+ Parenchymal	ASCL4	5.31390353634332	7.07851943166983e-168
dd_Smed_v6_16472_0_1	dd16472	X1	7_3	NKX2-4+ Parenchymal	ASCL4	4.12773230614916	1.43438378911472e-56
dd_Smed_v6_49794_0_1	dd49794	X1	7_3	NKX2-4+ Parenchymal	ASCL4	3.6373082730539	5.77207508865472e-52
dd_Smed_v6_13898_0_1	nkx2-like	X1	7_3	NKX2-4+ Parenchymal	ASCL4	3.03807693317187	2.51475231634586e-25
dd_Smed_v6_16472_0_1	dd16472	X1	7_4	NKX2-4+ Parenchymal	ASCL4	3.94132992820346	5.85850667747243e-53
dd_Smed_v6_16472_0_1	dd16472	X1	7_5	NKX2-4+ Parenchymal (GCM2 + IRX1)	GCM2	1.66053908230766	3.0385434524476e-29
dd_Smed_v6_5882_0_1	dd5882	X1	7_5	NKX2-4+ Parenchymal (GCM2 + IRX1)	GCM2	3.48600898883682	1.90455345468551e-20
dd_Smed_v6_8234_0_1	POU2/3	X1	8_0	Protonephridia	dd12617	5.78778862579746	0.0
dd_Smed_v6_9774_0_1	Six1/2-2	X1	8_0	Protonephridia	dd12617	5.23945723509179	0.0
dd_Smed_v6_2946_0_1	dd2946	X1	8_0	Protonephridia	dd12617	4.76787017638144	0.0
dd_Smed_v6_49988_0_1	dd49988	X1	8_0	Protonephridia	dd12617	4.10525317453622	8.57920463065626e-15
dd_Smed_v6_8234_0_1	POU2/3	X1	8_1	Protonephridia	six1/2-2	4.81391378965649	4.71299333537996e-292
