gene_id,gene_name,n_avail,centered_new,centered_old,centered_old_corrected,match_centered,diff_centered_new_vs_old,diff_new_vs_corrected
dd_Smed_v6_10911_0_1,dd10911,6,,0.4876194418601723,0.594727006979225,False,,
dd_Smed_v6_13898_0_1,nkx2-like,6,,0.4309585057970827,0.525620269173833,False,,
dd_Smed_v6_7033_0_1,dd7033,6,,0.3935630895130685,0.4800107997964586,False,,
dd_Smed_v6_16466_0_1,dd16466,6,,0.4257692431603946,0.5192911641968587,False,,
dd_Smed_v6_16124_0_1,runt-1,6,,0.4122667455804246,0.5028227888961411,False,,
dd_Smed_v6_14633_0_1,otxA,7,,0.5837221227213347,0.5837221227213346,False,,
dd_Smed_v6_37276_0_1,dd37276,6,,0.4221125012113539,0.5148312042199716,False,,
dd_Smed_v6_52497_0_1,hmx-1,6,,0.3970057759892754,0.4842096861578222,False,,
dd_Smed_v6_1399_0_1,dd1399,6,,0.3975909009511416,0.484923336163146,False,,
dd_Smed_v6_25769_0_1,dd25769,6,,0.3936290089475832,0.4800911986990149,False,,
dd_Smed_v6_48430_0_1,ovo,6,,0.4279228876697478,0.5219178653559814,False,,
dd_Smed_v6_19286_0_1,dd19286,6,,0.3904695984909649,0.4762378110705079,False,,
dd_Smed_v6_15104_0_1,ap2,6,,0.3839539579935578,0.468290984018672,False,,
dd_Smed_v6_49988_0_1,dd49988,6,,0.3806211123966502,0.4642260655260637,False,,
dd_Smed_v6_13056_0_1,tcf1,6,,0.4073657883327475,0.4968453167426006,False,,
dd_Smed_v6_15555_0_1,pou4l-1,7,,0.4804278242317966,0.4804278242317965,False,,
dd_Smed_v6_15144_0_1,lhx2/9,6,,0.3674227794774363,0.4481286658731386,False,,
dd_Smed_v6_2442_0_1,dd2442,6,,0.3666469294148939,0.4471823972342176,False,,
dd_Smed_v6_8104_0_1,soxB1-2 (not deposited),6,,0.3840831961924548,0.4684486099060324,False,,
dd_Smed_v6_10038_0_1,"Schmidtea mediterranea Zeb-1 mRNA, complete cds",6,,0.3718210147754497,0.453492991185516,False,,
dd_Smed_v6_6114_0_1,dd6114,6,,0.3706339025688526,0.4520451250239768,False,,
dd_Smed_v6_17731_0_1,sim,6,,0.3978089773066563,0.4851893138643496,False,,
dd_Smed_v6_17726_0_1,Pax6A,6,,0.367920161214333,0.4487352995023931,False,,
dd_Smed_v6_38033_0_1,dd38033,6,,0.3911421231546356,0.4770580584724957,False,,
dd_Smed_v6_9893_0_1,coe,7,,0.466317568887317,0.4663175688873169,False,,
dd_Smed_v6_18719_0_1,dd18719,6,,0.3668004717201545,0.4473696657223319,False,,
dd_Smed_v6_14362_0_1,dd14362,6,,0.3677749792944458,0.4485582277918136,False,,
dd_Smed_v6_17534_0_1,arh,6,,0.3439083797076088,0.4194492339319637,False,,
dd_Smed_v6_12617_0_1,dd12617,6,,0.3603816678394724,0.4395409458382725,False,,
dd_Smed_v6_58909_0_1,gata4/5/6-3,6,,0.3489700216957873,0.4256226858733918,False,,
dd_Smed_v6_13215_0_1,soxB,6,,0.3642935302431219,0.4443120645003215,False,,
dd_Smed_v6_17498_0_1,dd17498,6,,0.3723961444594839,0.4541944504101641,False,,
dd_Smed_v6_15473_0_1,dd15473,6,,0.3395858949629496,0.4141772980856451,False,,
dd_Smed_v6_10219_0_1,dd10219,6,,0.3356992156743161,0.4094368941107765,False,,
dd_Smed_v6_13772_0_1,PROX-1,6,,0.356868669753734,0.4352563036404865,False,,
dd_Smed_v6_20755_0_1,dd20755,6,,0.3418730078155271,0.4169667844446144,False,,
