gene_id,mean_x1,fingerprint
dd_Smed_v6_19890_0_1,0.009290141984820366,4a464ee552
dd_Smed_v6_2946_0_1,0.060522451996803284,4a464ee552
dd_Smed_v6_26877_0_1,,4a464ee552
dd_Smed_v6_14115_0_1,0.007456929422914982,4a464ee552
dd_Smed_v6_38342_0_1,0.003603147342801094,4a464ee552
dd_Smed_v6_31217_0_1,,4a464ee552
dd_Smed_v6_12170_0_1,0.013903128914535046,4a464ee552
dd_Smed_v6_11930_0_1,0.0916677862405777,4a464ee552
dd_Smed_v6_15253_0_1,0.009352510794997215,4a464ee552
dd_Smed_v6_14753_0_1,0.013815561309456825,4a464ee552
